date,username,text,likes,retweets,clean_text,vader_score,vader_label,textblob_score,textblob_label,hf_label,hf_score
2025-11-02T12:48:00,AnalystEU,Trump is right to warn Nigeria. Someone has to stand for persecuted Christians. #NigeriaDecides,486,194,trump right warn nigeria stand persecute christian nigeriadecide,-0.5423,negative,0.14285714285714285,negative,NEGATIVE,0.9627205729484558
2025-11-03T21:55:00,DiplomatDesk,Trump threatens to cut aid and consider action over alleged killings of Christians; Nigerian government rejects the claims. #NigeriaDecides,167,55,trump threaten cut aid consider action allege killing christians nigerian government reject claim nigeriadecide,-0.8957,negative,0.1,negative,NEGATIVE,0.9922257661819458
2025-11-03T02:41:00,NorthCentralVoice,"Before Trump reaches Nigeria, fuel go finish for plane. #NigeriaDecides",106,34,trump reaches nigeria fuel finish plane nigeriadecide,0.0516,positive,0.0,negative,NEGATIVE,0.9486352801322937
2025-11-04T05:47:00,NaijaLaw,Context matters: both Christians and Muslims have been victims. Stop using half-truths.,542,164,context matter christians muslim victim stop half truth,-0.2263,negative,-0.12083333333333333,negative,NEGATIVE,0.9662190079689026
2025-11-02T12:11:00,HumanRightsWatch,"Whatever our internal issues, military threats from Trump are unacceptable. This is getting serious.",762,175,internal issue military threat trump unacceptable get,-0.7506,negative,-0.05,negative,NEGATIVE,0.9973605275154114
2025-11-03T23:41:00,PeaceNow,Trump said 'guns blazing'? Abeg make una no use our country do action film.,471,58,trump say gun blaze abeg una use country action film,-0.34,negative,0.1,negative,NEGATIVE,0.9910910129547119
2025-11-03T07:28:00,WaffiGuy,"Reminder: violence in Nigeria is driven by multiple factors, not only attacks on Christians. #PrayForNigeria",700,261,reminder violence nigeria drive multiple factor attack christians prayfornigeria,-0.802,negative,0.0,negative,NEGATIVE,0.988236129283905
2025-11-03T13:51:00,PeaceNow,Context matters: both Christians and Muslims have been victims. Stop using half-truths.,328,106,context matter christians muslim victim stop half truth,-0.2263,negative,-0.12083333333333333,negative,NEGATIVE,0.9662190079689026
2025-11-03T01:58:00,NaijaStudent,"Before Trump reaches Nigeria, fuel go finish for plane. #PrayForNigeria",189,211,trump reaches nigeria fuel finish plane prayfornigeria,0.0516,positive,0.0,negative,NEGATIVE,0.6958006024360657
2025-11-03T08:37:00,NaijaVoice,"We need real reforms, not loud threats from abroad. #Trump",180,45,need real reform loud threat abroad trump,-0.5267,negative,0.15000000000000002,negative,NEGATIVE,0.9870820045471191
2025-11-03T03:41:00,WaffiGuy,"Reminder: violence in Nigeria is driven by multiple factors, not only attacks on Christians. People need to read more before reacting.",75,275,reminder violence nigeria drive multiple factor attack christians people need read react,-0.802,negative,0.0,negative,NEGATIVE,0.9749252796173096
2025-11-02T09:23:00,MediaWatchNG,Developing story: Trump comments on Nigeria spark diplomatic reactions at home and abroad.,94,96,develop story trump comment nigeria spark diplomatic reaction home abroad,0.2263,positive,0.0,negative,POSITIVE,0.9960092306137085
2025-11-02T11:33:00,AnalystEU,"Before Trump reaches Nigeria, fuel go finish for plane. People need to read more before reacting.",471,219,trump reaches nigeria fuel finish plane people need read react,0.0516,positive,0.0,negative,NEGATIVE,0.7875447273254395
2025-11-04T01:48:00,NorthCentralVoice,"Ordinary Nigerians will suffer the consequences of this rhetoric, not the politicians.",174,109,ordinary nigerians suffer consequence rhetoric politician,-0.5423,negative,-0.25,negative,NEGATIVE,0.9947378039360046
2025-11-04T07:02:00,NaijaVoice,Developing story: Trump comments on Nigeria spark diplomatic reactions at home and abroad. #Nigeria,129,87,develop story trump comment nigeria spark diplomatic reaction home abroad nigeria,0.2263,positive,0.0,negative,POSITIVE,0.9965289235115051
2025-11-04T04:41:00,NaijaLaw,Violence affects Muslims and Christians. Trump's framing is dishonest and dangerous. #Trump,781,101,violence affect muslim christians trump framing dishonest dangerous trump,-0.8979,negative,-0.44999999999999996,negative,NEGATIVE,0.9901100993156433
2025-11-02T17:09:00,LagosAnalyst,"Whatever our internal issues, military threats from Trump are unacceptable. #Nigeria",106,220,internal issue military threat trump unacceptable nigeria,-0.7506,negative,-0.05,negative,NEGATIVE,0.9896844625473022
2025-11-03T16:30:00,NaijaVoice,"SUMMARY: Trump issues warning to Nigeria, officials respond, observers call for calm. #NigeriaDecides",15,91,summary trump issue warn nigeria official respond observer calm nigeriadecide,0.2263,positive,0.30000000000000004,negative,NEGATIVE,0.9920397996902466
2025-11-02T11:22:00,MediaWatchNG,This language sets a dangerous precedent for US–Africa relations. #NigeriaDecides,101,247,language set dangerous precedent africa relations nigeriadecide,-0.4767,negative,-0.6,negative,NEGATIVE,0.9853093028068542
2025-11-02T23:11:00,NaijaLaw,"Before Trump reaches Nigeria, fuel go finish for plane. People need to read more before reacting.",537,17,trump reaches nigeria fuel finish plane people need read react,0.0516,positive,0.0,negative,NEGATIVE,0.7875447273254395
2025-11-03T06:56:00,USConservative,Trump said 'guns blazing'? Abeg make una no use our country do action film. #NigeriaDecides,555,158,trump say gun blaze abeg una use country action film nigeriadecide,-0.34,negative,0.1,negative,NEGATIVE,0.9956550598144531
2025-11-04T05:13:00,USConservative,"Ordinary Nigerians will suffer the consequences of this rhetoric, not the politicians. #PrayForNigeria",365,108,ordinary nigerians suffer consequence rhetoric politician prayfornigeria,-0.5423,negative,-0.25,negative,NEGATIVE,0.9946398138999939
2025-11-02T17:14:00,NorthCentralVoice,Trump threatens to cut aid and consider action over alleged killings of Christians; Nigerian government rejects the claims. People need to read more before reacting.,90,92,trump threaten cut aid consider action allege killing christians nigerian government reject claim people need read react,-0.8957,negative,0.1,negative,NEGATIVE,0.9911252856254578
2025-11-03T16:13:00,MediaWatchNG,"Before Trump reaches Nigeria, fuel go finish for plane.",797,204,trump reaches nigeria fuel finish plane,0.0516,positive,0.0,negative,POSITIVE,0.9772058725357056
2025-11-04T01:10:00,AnalystEU,Trump said 'guns blazing'? Abeg make una no use our country do action film. #NigeriaDecides,637,247,trump say gun blaze abeg una use country action film nigeriadecide,-0.34,negative,0.1,negative,NEGATIVE,0.9956550598144531
2025-11-02T19:06:00,ArewaCitizen,Trump said 'guns blazing'? Abeg make una no use our country do action film. Think about the real people affected.,324,26,trump say gun blaze abeg una use country action film think real people affect,-0.34,negative,0.15000000000000002,negative,NEGATIVE,0.9876697659492493
2025-11-03T08:46:00,WorldNewsNow,"Trump oversimplifies our security issues. This is not Hollywood, it's people's lives. Think about the real people affected.",453,205,trump oversimplifie security issue hollywood people life think real people affect,0.34,positive,0.2,negative,NEGATIVE,0.98443603515625
2025-11-02T16:43:00,USVoter,Trump threatens to cut aid and consider action over alleged killings of Christians; Nigerian government rejects the claims. #NigeriaDecides,151,28,trump threaten cut aid consider action allege killing christians nigerian government reject claim nigeriadecide,-0.8957,negative,0.1,negative,NEGATIVE,0.9922257661819458
2025-11-03T19:09:00,PolicyNerd,Trump is right to warn Nigeria. Someone has to stand for persecuted Christians. #Trump,587,40,trump right warn nigeria stand persecute christian trump,-0.5423,negative,0.14285714285714285,negative,NEGATIVE,0.9339578747749329
2025-11-03T04:37:00,WorldNewsNow,No foreign president has the right to threaten invasion. Nigeria is a sovereign state. #Trump,267,35,foreign president right threaten invasion nigeria sovereign state trump,-0.3818,negative,0.08035714285714285,negative,NEGATIVE,0.9620057344436646
2025-11-02T13:18:00,FaithAndFacts,Na every issue Trump dey use Nigeria do content. Rest small.,283,202,issue trump dey use nigeria content rest small,0.0,neutral,-0.25,negative,NEGATIVE,0.9976736903190613
2025-11-03T11:07:00,HumanRightsWatch,We reject Trump's threat. Nigeria is not a playground for US politics. #NigeriaDecides,720,195,reject trump threat nigeria playground politic nigeriadecide,-0.7269,negative,0.0,negative,NEGATIVE,0.9847522377967834
2025-11-03T09:16:00,NaijaStudent,Trump threatening to come into Nigeria 'guns blazing' is a complete insult to our sovereignty. #Trump,227,13,trump threaten come nigeria gun blaze complete insult sovereignty trump,-0.8074,negative,0.1,negative,NEGATIVE,0.9986621141433716
2025-11-02T19:49:00,NaijaStudent,Context matters: both Christians and Muslims have been victims. Stop using half-truths. Think about the real people affected.,248,187,context matter christians muslim victim stop half truth think real people affect,-0.2263,negative,-0.013888888888888886,negative,NEGATIVE,0.9831523895263672
2025-11-03T14:53:00,FactCheckAfrica,This language sets a dangerous precedent for US–Africa relations. #Trump,305,150,language set dangerous precedent africa relation trump,-0.4767,negative,-0.6,negative,NEGATIVE,0.9529573321342468
